timestamp,spot_0_iv_0,spot_0_iv_5,spot_0_iv_-5,spot_2_iv_0,spot_2_iv_5,spot_2_iv_-5,spot_-2_iv_0,spot_-2_iv_5,spot_-2_iv_-5
13:15:00.0000000000,38381.92981,-2117696.25746,2410819.68275,-12307937.24827,-11785919.28601,-12723427.61281,-63109080.07112,-61828641.63001,-64226768.16666
13:20:00.0000000000,-13947.46375,-2129240.59883,2322809.05673,-11043691.08477,-10606197.08999,-11366356.23895,-61590226.05710,-60171278.84520,-62864191.25399
13:25:00.0000000000,-5851.76013,-2625447.55218,2892081.21737,-40232529.82541,-39698595.86777,-40613458.15587,-48232423.44284,-47126575.66188,-49201560.95871
13:30:00.0000000000,-41782.71785,-2157507.93024,2301767.06535,-45898559.11346,-45351140.71192,-46294204.89473,-25093010.84034,-24497370.98288,-25611169.05649
13:35:00.0000000000,-59547.72749,-1544682.23064,1524193.23681,-54298903.93177,-53476205.39752,-54945220.20342,1113913.33175,1204927.44074,1042232.40454
13:40:00.0000000000,-31039.35408,-1607389.38476,1619331.78498,-59689926.69480,-58842306.05742,-60360538.40627,-946259.77603,-894903.34455,-979652.15459
13:45:00.0000000000,-4074.24600,-476030.03490,627010.85770,29706782.61340,30188408.53378,29323640.60298,-20534681.84144,-20299164.15984,-20718755.53420
13:50:00.0000000000,-19812.82114,-1287034.74497,1423196.05774,-24386173.46186,-24307580.76722,-24422218.16826,-15092839.71839,-14870588.55148,-15268413.98478
13:55:00.0000000000,-15156.99464,-1331619.79138,1507761.00354,-32109001.70443,-32018038.75041,-32151191.52019,-4058570.10965,-3976595.13247,-4112896.62394
14:00:00.0000000000,5895.67651,-514946.58186,557433.42758,-2821125.26503,-2815917.43163,-2822762.43672,-18418626.13971,-18237635.58258,-18556252.55825
14:05:00.0000000000,-18642.22299,-747247.60289,789581.80700,-8237552.18348,-8221554.15494,-8244722.97536,-17703629.13883,-17478228.76885,-17883912.08898
14:10:00.0000000000,555.45808,-558955.62386,598849.73149,-1957521.01447,-1942550.15938,-1965477.53238,-20012764.44524,-19821217.56569,-20163117.59991
14:15:00.0000000000,9569.19134,-1096816.90524,1243842.26246,-21289608.87436,-21260804.74173,-21302825.38758,-16935306.63380,-16728653.72257,-17102340.55683
14:20:00.0000000000,-3925.08742,-1470868.15717,1598438.93080,-31231075.14467,-31191149.91654,-31250958.73634,-18147891.02309,-18042104.90161,-18225477.22328
14:25:00.0000000000,-3171.70233,-506419.74322,497930.63311,411138.76243,411151.76128,411138.29347,-24977609.14115,-24833736.93632,-25089644.96591
14:30:00.0000000000,-1288.43311,-460462.54792,454653.47356,-2885552.22172,-2885297.03663,-2885589.14080,-21494824.35714,-21366838.55743,-21594182.13161
14:35:00.0000000000,-14569.34681,-615883.69609,614847.79950,-17239375.85126,-17227410.41089,-17243896.35356,-6112947.60727,-6105887.02844,-6116326.88870
14:40:00.0000000000,-4229.54961,-589657.75578,620923.15667,-23442415.37746,-23425417.24332,-23449641.28858,1047615.05396,1047676.24438,1047607.55499
14:45:00.0000000000,-12030.14391,-763884.03359,790672.87384,-32698960.80096,-32674832.45696,-32710585.12949,2841905.38667,2842188.88657,2841802.78324
14:50:00.0000000000,-2163.39304,-591454.63434,670553.87293,-10402128.34446,-10396694.29843,-10404199.83408,-4161848.96694,-4160501.05465,-4162397.67137
14:55:00.0000000000,-3966.65011,-349889.18633,411630.02721,-5187041.26542,-5186646.57051,-5187162.90354,-4937151.43901,-4935774.60540,-4937752.66443
15:00:00.0000000000,76.43425,1236.37286,-677.87062,-1360.00000,-1360.00000,-1360.00000,700958.40894,701122.57749,700886.92358
15:05:00.0000000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15:10:00.0000000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15:15:00.0000000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15:20:00.0000000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15:25:00.0000000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
